keys,ru,en,fr,it,de,es,pt_br,uk,ja,ko,zh_tw,ar,nl,id,hi,tr,zh_cn,th,vi,pl
Написать в поддержку,Написать в поддержку,Contact support,Écrivez au support,Scrivi al supporto,Schreiben Sie an den Support,Escribe al soporte,Escreva para apoiar,Написати на підтримку,サポートに書き込む,지원하기 위해 글을 쓰세요,寫信支持,اكتب لدعم,Schrijf ter ondersteuning,Menulis untuk mendukung,समर्थन करने के लिए लिखें,Desteğe yazın,写信支持,เขียนเพื่อสนับสนุน,Viết để ủng hộ,Napisz do wsparcia
Исходный код и обновления,Исходный код и обновления,Source code and updates,Code source et mises à jour,Codice sorgente e aggiornamenti,Quellcode und Updates,Código fuente y actualizaciones.,Código fonte e atualizações,Вихідний код та оновлення,ソースコードとアップデート,소스 코드 및 업데이트,原始碼和更新,كود المصدر والتحديثات,Broncode en updates,Kode sumber dan pembaruan,स्रोत कोड और अद्यतन,Kaynak kodu ve güncellemeler,源代码和更新,ซอร์สโค้ดและการอัพเดต,Mã nguồn và cập nhật,Kod źródłowy i aktualizacje
Сообщество,Сообщество,Community,Communauté,Comunità,Gemeinschaft,Comunidad,Comunidade,Спільнота,コミュニティ,커뮤니티,社群,المجتمع,Gemeenschap,Komunitas,समुदाय,Topluluk,社区,ชุมชน,cộng đồng,Społeczność
Другие приложения студии,Другие приложения студии,More apps from the studio,Autres applications en studio,Altre applicazioni in studio,Andere Studioanwendungen,Otras aplicaciones de estudio,Outras aplicações de estúdio,Інші програми студії,その他のスタジオアプリケーション,기타 스튜디오 애플리케이션,其他工作室應用,تطبيقات الاستوديو الأخرى,Andere studiotoepassingen,Aplikasi studio lainnya,अन्य स्टूडियो अनुप्रयोग,Diğer stüdyo uygulamaları,其他工作室应用,แอปพลิเคชั่นสตูดิโออื่น ๆ,Các ứng dụng phòng thu khác,Inne aplikacje studyjne
Данные,Данные,Data,Données,Dati,Daten,Datos,Dados,Дані,データ,데이터,數據,البيانات,Gegevens,Data,डेटा,Veri,数据,ข้อมูล,dữ liệu,Dane
Очистить кэш переводов,Очистить кэш переводов,Clear translation cache,Vider le cache de traduction,Svuota la cache delle traduzioni,Übersetzungs-Cache leeren,Borrar caché de traducción,Limpar cache de tradução,Очистити кеш перекладів,翻訳キャッシュをクリアする,번역 캐시 지우기,清除翻譯快取,مسح ذاكرة التخزين المؤقت للترجمة,Wis de vertaalcache,Hapus cache terjemahan,अनुवाद कैश साफ़ करें,Çeviri önbelleğini temizle,清除翻译缓存,ล้างแคชการแปล,Xóa bộ đệm dịch,Wyczyść pamięć podręczną tłumaczeń
Благодарности и лицензии,Благодарности и лицензии,Credits and licenses,Remerciements et licences,Ringraziamenti e licenze,Danksagungen und Lizenzen,Reconocimientos y licencias,Agradecimentos e licenças,Подяки та ліцензії,謝辞とライセンス,승인 및 라이선스,致謝和許可,الاعترافات والتراخيص,Erkenningen en licenties,Pengakuan dan lisensi,स्वीकृतियां और लाइसेंस,Teşekkür ve lisanslar,致谢和许可,การรับทราบและใบอนุญาต,Lời cảm ơn và giấy phép,Podziękowania i licencje
"Godot Engine — MIT.
Google ML Kit (Text Recognition, Language ID, Translation) — условия Google.
Онлайн-движки (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) — условия соответствующих сервисов.
Шрифт Nunito — SIL Open Font License 1.1.","Godot Engine — MIT.
Google ML Kit (Text Recognition, Language ID, Translation) — условия Google.
Онлайн-движки (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) — условия соответствующих сервисов.
Шрифт Nunito — SIL Open Font License 1.1.","Godot Engine — MIT.
Google ML Kit (Text Recognition, Language ID, Translation) — Google terms.
Online engines (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) — terms of the respective services.
Nunito font — SIL Open Font License 1.1.","Moteur Godot - MIT.
Kit Google ML (reconnaissance de texte, identification de langue, traduction) - Termes Google.
Moteurs en ligne (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - termes et conditions des services correspondants.
Police Nunito - Licence de police ouverte SIL 1.1.","Motore Godot – MIT.
Kit Google ML (riconoscimento testo, ID lingua, traduzione) - Termini di Google.
Motori online (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - termini e condizioni dei servizi corrispondenti.
Carattere Nunito - Licenza SIL Open Font 1.1.","Godot-Engine – MIT.
Google ML Kit (Texterkennung, Sprach-ID, Übersetzung) – Google-Begriffe.
Online-Engines (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) – Geschäftsbedingungen der entsprechenden Dienste.
Nunito-Schriftart – SIL Open Font License 1.1.","Motor Godot - MIT.
Kit de aprendizaje automático de Google (reconocimiento de texto, identificación de idioma, traducción): términos de Google.
Motores en línea (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory): términos y condiciones de los servicios correspondientes.
Fuente Nunito - Licencia de fuente abierta SIL 1.1.","Motor Godot-MIT.
Kit Google ML (reconhecimento de texto, ID do idioma, tradução) - termos do Google.
Motores online (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - termos e condições dos serviços correspondentes.
Fonte Nunito - Licença de fonte aberta SIL 1.1.","Godot Engine - MIT.
Google ML Kit (Text Recognition, Language ID, Translation) – умови Google.
Онлайн-движки (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) – умови відповідних сервісів.
Шрифт Nunito – SIL Open Font License 1.1.","Godot エンジン - MIT。
Google ML キット (テキスト認識、言語 ID、翻訳) - Google の規約。
オンライン エンジン (Claude、OpenAI、Gemini、Groq、DeepL、OpenRouter、DeepSeek、Mistral、Google Cloud、Yandex、MyMemory) - 対応するサービスの利用規約。
Nunito フォント - SIL オープン フォント ライセンス 1.1。","Godot 엔진 - MIT.
Google ML Kit(텍스트 인식, 언어 ID, 번역) - Google 용어입니다.
온라인 엔진(Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - 해당 서비스의 이용 약관.
Nunito 글꼴 - SIL 오픈 글꼴 라이선스 1.1.","Godot 引擎 - 麻省理工學院。
Google ML Kit（文字辨識、語言 ID、翻譯）- Google 術語。
線上引擎（Claude、OpenAI、Gemini、Groq、DeepL、OpenRouter、DeepSeek、Mistral、Google Cloud、Yandex、MyMemory）- 相應服務的條款和條件。
Nunito 字體 - SIL 開放字體授權 1.1。","محرك جودو - معهد ماساتشوستس للتكنولوجيا.
Google ML Kit (التعرف على النص، معرف اللغة، الترجمة) - مصطلحات Google.
المحركات عبر الإنترنت (Claude، OpenAI، Gemini، Groq، DeepL، OpenRouter، DeepSeek، Mistral، Google Cloud، Yandex، MyMemory) - شروط وأحكام الخدمات المقابلة.
خط Nunito - ترخيص SIL Open Font 1.1.","Godot-motor - MIT.
Google ML Kit (tekstherkenning, taal-ID, vertaling) - Google-voorwaarden.
Online-engines (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - algemene voorwaarden van de overeenkomstige services.
Nunito-lettertype - SIL Open Font License 1.1.","Mesin Godot - MIT.
Google ML Kit (Pengenalan Teks, ID Bahasa, Terjemahan) - Persyaratan Google.
Mesin online (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - syarat dan ketentuan layanan terkait.
Font Nunito - Lisensi Font Terbuka SIL 1.1.","गोडोट इंजन - एमआईटी।
Google ML किट (पाठ पहचान, भाषा आईडी, अनुवाद) - Google शर्तें।
ऑनलाइन इंजन (क्लाउड, ओपनएआई, जेमिनी, ग्रोक, डीपएल, ओपनराउटर, डीपसीक, मिस्ट्रल, गूगल क्लाउड, यांडेक्स, मायमेमोरी) - संबंधित सेवाओं के नियम और शर्तें।
नुनिटो फॉन्ट - एसआईएल ओपन फॉन्ट लाइसेंस 1.1.","Godot Motoru - MIT.
Google ML Kiti (Metin Tanıma, Dil Kimliği, Çeviri) - Google terimleri.
Çevrimiçi motorlar (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - ilgili hizmetlerin hüküm ve koşulları.
Nunito yazı tipi - SIL Açık Yazı Tipi Lisansı 1.1.","Godot 引擎 - 麻省理工学院。
Google ML Kit（文本识别、语言 ID、翻译）- Google 术语。
在线引擎（Claude、OpenAI、Gemini、Groq、DeepL、OpenRouter、DeepSeek、Mistral、Google Cloud、Yandex、MyMemory）- 相应服务的条款和条件。
Nunito 字体 - SIL 开放字体许可证 1.1。","เครื่องยนต์ Godot - MIT
Google ML Kit (การจดจำข้อความ รหัสภาษา การแปล) - เงื่อนไขของ Google
เอ็นจิ้นออนไลน์ (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - ข้อกำหนดและเงื่อนไขของบริการที่เกี่ยวข้อง
ฟอนต์ Nunito - SIL Open Font License 1.1.","Động cơ Godot - MIT.
Bộ công cụ Google ML (Nhận dạng văn bản, ID ngôn ngữ, Dịch thuật) - Điều khoản của Google.
Các công cụ trực tuyến (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) - các điều khoản và điều kiện của các dịch vụ tương ứng.
Phông chữ Nunito - Giấy phép phông chữ mở SIL 1.1.","Silnik Godota – MIT.
Zestaw Google ML (rozpoznawanie tekstu, identyfikator języka, tłumaczenie) – warunki Google.
Silniki internetowe (Claude, OpenAI, Gemini, Groq, DeepL, OpenRouter, DeepSeek, Mistral, Google Cloud, Yandex, MyMemory) – warunki odpowiednich usług.
Czcionka Nunito - Licencja SIL Open Font 1.1."
Главная,Главная,Home,Accueil,Casa,Zuhause,Inicio,Página inicial,Головна,ホーム,홈,首頁,الصفحة الرئيسية,Thuis,Rumah,घर,Ana sayfa,首页,บ้าน,Trang chủ,Dom
Версия %s,Версия %s,Version %s,Version %s,Versione %s,Version %s,Versión %s,Versão %s,Версія %s,バージョン %s,버전 %s,版本 %s,الإصدار %s,Versie %s,Versi %s,संस्करण %s,Sürüm %s,版本 %s,เวอร์ชัน %s,Phiên bản %s,Wersja %s
Оверлей уже работает.,Оверлей уже работает.,The overlay is already running.,La superposition fonctionne déjà.,L'overlay funziona già.,Das Overlay funktioniert bereits.,La superposición ya está funcionando.,A sobreposição já está funcionando.,Оверлей уже працює.,オーバーレイはすでに機能しています。,오버레이가 이미 작동 중입니다.,覆蓋已經開始工作。,التراكب يعمل بالفعل.,De overlay werkt al.,Hamparan sudah berfungsi.,ओवरले पहले से ही काम कर रहा है.,Kaplama zaten çalışıyor.,覆盖已经开始工作。,การซ้อนทับกำลังทำงานอยู่แล้ว,Lớp phủ đã hoạt động.,Nakładka już działa.
Готово к запуску.,Готово к запуску.,Ready to start.,Prêt à partir.,Pronti a partire.,Bereit zu gehen.,Listo para partir.,Pronto para ir.,Готовий до запуску.,準備完了です。,갈 준비가되었습니다.,準備出發了。,على استعداد للذهاب.,Klaar om te gaan.,Siap berangkat.,जाने के लिए तैयार.,Gitmeye hazırız.,准备出发了。,พร้อมลุย.,Sẵn sàng để đi.,Gotowy do pracy.
Нативный плагин недоступен: запустите приложение на Android.,Нативный плагин недоступен: запустите приложение на Android.,Native plugin unavailable: run the app on Android.,Plugin natif non disponible : exécutez l'application sur Android.,Plugin nativo non disponibile: esegui l'app su Android.,Natives Plugin nicht verfügbar: Führen Sie die App auf Android aus.,Complemento nativo no disponible: ejecute la aplicación en Android.,Plugin nativo não disponível: execute o aplicativo no Android.,Нативний плагін недоступний: запустіть програму на Android.,ネイティブ プラグインは利用できません: Android でアプリを実行してください。,기본 플러그인을 사용할 수 없습니다. Android에서 앱을 실행하세요.,本機插件不可用：在 Android 上運行該應用程式。,المكون الإضافي الأصلي غير متوفر: قم بتشغيل التطبيق على Android.,Native plug-in niet beschikbaar: voer de app uit op Android.,Plugin asli tidak tersedia: jalankan aplikasi di Android.,नेटिव प्लगइन उपलब्ध नहीं है: ऐप को एंड्रॉइड पर चलाएं।,Yerel eklenti mevcut değil: uygulamayı Android'de çalıştırın.,本机插件不可用：在 Android 上运行该应用程序。,ปลั๊กอินเนทิฟไม่พร้อมใช้งาน: เรียกใช้แอปบน Android,Plugin gốc không có sẵn: chạy ứng dụng trên Android.,Wtyczka natywna nie jest dostępna: uruchom aplikację na Androidzie.
Остановить оверлей,Остановить оверлей,Stop overlay,Arrêter la superposition,Interrompi la sovrapposizione,Stoppen Sie die Überlagerung,Detener superposición,Parar sobreposição,Зупинити оверлів,オーバーレイの停止,오버레이 중지,停止疊加,توقف عن التراكب,Overlay stoppen,Hentikan hamparan,ओवरले बंद करो,Kaplamayı durdur,停止叠加,หยุดการซ้อนทับ,Dừng lớp phủ,Zatrzymaj nakładkę
✓  Ключ сохранён на устройстве,✓  Ключ сохранён на устройстве,✓  Key saved on this device,✓ La clé est enregistrée sur l'appareil,✓ La chiave viene salvata sul dispositivo,✓ Der Schlüssel ist auf dem Gerät gespeichert,✓ La clave se guarda en el dispositivo,✓ A chave é salva no dispositivo,✓ Ключ збережений на пристрої,✓ キーはデバイスに保存されます,✓ 키가 기기에 저장됩니다,✓ 密鑰保存在裝置上,✓ يتم حفظ المفتاح على الجهاز,✓ De sleutel is op het apparaat opgeslagen,✓ Kuncinya disimpan di perangkat,✓ कुंजी डिवाइस पर सहेजी गई है,✓ Anahtar cihaza kaydedilir,✓ 密钥保存在设备上,✓ รหัสจะถูกบันทึกไว้ในอุปกรณ์,✓ Key đã được lưu trên máy,✓ Klucz zostaje zapisany na urządzeniu
Ключ не задан — будет использован ML Kit,Ключ не задан — будет использован ML Kit,No key set — ML Kit will be used,Clé non spécifiée - ML Kit sera utilisé,Chiave non specificata: verrà utilizzato il kit ML,Schlüssel nicht angegeben – ML-Kit wird verwendet,Clave no especificada: se utilizará el kit de aprendizaje automático,Chave não especificada: o kit de ML será usado,Ключ не заданий – буде використано ML Kit,キーが指定されていません - ML キットが使用されます,키가 지정되지 않음 - ML Kit가 사용됩니다.,未指定金鑰 - 將使用 ML Kit,لم يتم تحديد المفتاح - سيتم استخدام ML Kit,Sleutel niet gespecificeerd - ML Kit wordt gebruikt,Kunci tidak ditentukan - ML Kit akan digunakan,कुंजी निर्दिष्ट नहीं है - एमएल किट का उपयोग किया जाएगा,Anahtar belirtilmedi - ML Kiti kullanılacak,未指定密钥 - 将使用 ML Kit,ไม่ได้ระบุคีย์ - จะใช้ ML Kit,Khóa không được chỉ định - Bộ ML sẽ được sử dụng,Nie określono klucza — zostanie użyty zestaw ML
Только Android: права проверяются на устройстве.,Только Android: права проверяются на устройстве.,Android only: permissions are checked on the device.,Android uniquement : les autorisations sont vérifiées sur l'appareil.,Solo Android: le autorizzazioni vengono verificate sul dispositivo.,Nur Android: Berechtigungen werden auf dem Gerät überprüft.,Solo Android: los permisos se verifican en el dispositivo.,Somente Android: as permissões são verificadas no dispositivo.,Тільки Android: права перевіряються на вашому пристрої.,Android のみ: デバイスで権限がチェックされます。,Android만 해당: 기기에서 권한이 확인됩니다.,僅適用於 Android：在裝置上檢查權限。,Android فقط: يتم فحص الأذونات على الجهاز.,Alleen Android: machtigingen worden gecontroleerd op het apparaat.,Khusus Android: izin diperiksa pada perangkat.,केवल Android: डिवाइस पर अनुमतियाँ जाँची जाती हैं।,Yalnızca Android: izinler cihazda kontrol edilir.,仅适用于 Android：在设备上检查权限。,Android เท่านั้น: มีการตรวจสอบสิทธิ์บนอุปกรณ์,Chỉ dành cho Android: quyền được kiểm tra trên thiết bị.,Tylko Android: uprawnienia są sprawdzane na urządzeniu.
✓  Показ поверх других приложений разрешён,✓  Показ поверх других приложений разрешён,✓  Drawing over other apps is allowed,✓ L'affichage au-dessus d'autres applications est autorisé,✓ È consentita la visualizzazione sopra altre applicazioni,✓ Die Anzeige über anderen Anwendungen ist zulässig,✓ Se permite mostrar encima de otras aplicaciones,✓ É permitido mostrar em cima de outros aplicativos,✓ Показ на інші програми дозволено,✓ 他のアプリケーションと重ねて表示することは許可されています,✓ 다른 애플리케이션 위에 표시하는 것은 허용됩니다.,✓ 允許顯示在其他應用程式之上,✓ يسمح بالعرض فوق التطبيقات الأخرى,✓ Tonen bovenop andere applicaties is toegestaan,✓ Diperbolehkan menampilkan di atas aplikasi lain,✓ अन्य एप्लिकेशन के शीर्ष पर दिखाने की अनुमति है,✓ Diğer uygulamaların üstünde gösterilmeye izin verilir,✓ 允许显示在其他应用程序之上,✓ อนุญาตให้แสดงทับแอปพลิเคชันอื่นได้,✓ Cho phép hiển thị trên các ứng dụng khác,✓ Dozwolone jest wyświetlanie na innych aplikacjach
Нужно разрешение «Поверх других приложений» — без него плавающая кнопка не появится.,Нужно разрешение «Поверх других приложений» — без него плавающая кнопка не появится.,The “Draw over other apps” permission is required — without it the floating button cannot appear.,"Vous avez besoin de l'autorisation « Au-dessus des autres applications » - sans elle, le bouton flottant n'apparaîtra pas.","È necessaria l'autorizzazione ""Sopra altre applicazioni"": senza di essa, il pulsante mobile non verrà visualizzato.",Sie benötigen die Berechtigung „Über anderen Anwendungen“ – ohne diese wird die schwebende Schaltfläche nicht angezeigt.,"Necesita el permiso ""Encima de otras aplicaciones""; sin él, el botón flotante no aparecerá.","Você precisa da permissão “Em cima de outros aplicativos” - sem ela, o botão flutuante não aparecerá.",Потрібна роздільна здатність «Поверх інших додатків» — без нього плаваюча кнопка не з'явиться.,「他のアプリケーションの上に」権限が必要です。それがないと、フローティング ボタンは表示されません。,"""다른 응용 프로그램 위에"" 권한이 필요합니다. 권한이 없으면 플로팅 버튼이 나타나지 않습니다.",您需要“在其他應用程式之上”權限 - 沒有它，浮動按鈕將不會出現。,"أنت بحاجة إلى إذن ""فوق التطبيقات الأخرى"" - وبدونه لن يظهر الزر العائم.","U hebt de toestemming ""Bovenop andere applicaties"" nodig - zonder deze zal de zwevende knop niet verschijnen.","Anda memerlukan izin ""Di atas aplikasi lain"" - tanpanya, tombol mengambang tidak akan muncul.","आपको ""अन्य अनुप्रयोगों के शीर्ष पर"" अनुमति की आवश्यकता है - इसके बिना, फ़्लोटिंग बटन दिखाई नहीं देगा।","""Diğer uygulamaların üstünde"" iznine ihtiyacınız var; bu izin olmadan kayan düğme görünmeyecektir.",您需要“在其他应用程序之上”权限 - 没有它，浮动按钮将不会出现。,"คุณต้องได้รับอนุญาต ""นอกเหนือจากแอปพลิเคชันอื่น"" - หากไม่มีปุ่มลอยจะไม่ปรากฏขึ้น","Bạn cần có quyền ""Trên các ứng dụng khác"" - nếu không có quyền này, nút nổi sẽ không xuất hiện.",Potrzebujesz uprawnienia „Nad innymi aplikacjami” - bez niego pływający przycisk nie pojawi się.
API-ключ сохранён.,API-ключ сохранён.,API key saved.,La clé API a été enregistrée.,La chiave API è stata salvata.,Der API-Schlüssel wurde gespeichert.,La clave API se ha guardado.,A chave API foi salva.,API-ключ збережений.,APIキーが保存されました。,API 키가 저장되었습니다.,API 金鑰已儲存。,تم حفظ مفتاح API.,De API-sleutel is opgeslagen.,Kunci API telah disimpan.,एपीआई कुंजी सहेज ली गई है.,API anahtarı kaydedildi.,API 密钥已保存。,บันทึกคีย์ API แล้ว,Khóa API đã được lưu.,Klucz API został zapisany.
API-ключ удалён.,API-ключ удалён.,API key removed.,La clé API a été supprimée.,La chiave API è stata eliminata.,Der API-Schlüssel wurde gelöscht.,La clave API ha sido eliminada.,A chave API foi excluída.,API-ключ видалено.,APIキーが削除されました。,API 키가 삭제되었습니다.,API 金鑰已被刪除。,تم حذف مفتاح API.,De API-sleutel is verwijderd.,Kunci API telah dihapus.,एपीआई कुंजी हटा दी गई है.,API anahtarı silindi.,API 密钥已被删除。,ลบคีย์ API แล้ว,Khóa API đã bị xóa.,Klucz API został usunięty.
Плавающая кнопка возвращена на место.,Плавающая кнопка возвращена на место.,Floating button position reset.,Le bouton flottant a été remis à sa place.,Il pulsante mobile è stato rimesso al suo posto.,Die schwebende Schaltfläche wurde an ihren Platz zurückgebracht.,El botón flotante ha sido devuelto a su lugar.,O botão flutuante voltou ao seu lugar.,Плаваюча кнопка повернута на місце.,フローティングボタンが元の位置に戻りました。,플로팅 버튼이 제자리로 돌아왔습니다.,浮動按鈕已返回其位置。,تم إرجاع الزر العائم إلى مكانه.,De zwevende knop is terug op zijn plaats.,Tombol mengambang telah dikembalikan ke tempatnya.,फ्लोटिंग बटन को उसके स्थान पर लौटा दिया गया है।,Kayan düğme yerine geri getirildi.,浮动按钮已返回其位置。,ปุ่มลอยกลับคืนสู่ตำแหน่งเดิมแล้ว,Nút nổi đã được trả về vị trí cũ.,Pływający przycisk powrócił na swoje miejsce.
Кэш переводов очищен.,Кэш переводов очищен.,Translation cache cleared.,Le cache de traduction a été vidé.,La cache di traduzione è stata svuotata.,Der Übersetzungscache wurde geleert.,Se ha borrado el caché de traducción.,O cache de tradução foi limpo.,Кеш перекладів очищений.,翻訳キャッシュがクリアされました。,번역 캐시가 삭제되었습니다.,翻譯快取已被清除。,تم مسح ذاكرة التخزين المؤقت للترجمة.,De vertaalcache is gewist.,Cache terjemahan telah dihapus.,अनुवाद कैश साफ़ कर दिया गया है.,Çeviri önbelleği temizlendi.,翻译缓存已被清除。,ล้างแคชการแปลแล้ว,Bộ đệm dịch đã bị xóa.,Pamięć podręczna tłumaczeń została wyczyszczona.
Включите «Поверх других приложений» для ScreenLingo и вернитесь назад.,Включите «Поверх других приложений» для ScreenLingo и вернитесь назад.,Enable “Draw over other apps” for ScreenLingo and come back.,Activez « Au-dessus des autres applications » pour ScreenLingo et revenez en arrière.,"Attiva ""Sopra le altre app"" per ScreenLingo e torna indietro.",Aktivieren Sie „Über anderen Apps“ für ScreenLingo und kehren Sie zurück.,"Active ""Encima de otras aplicaciones"" para ScreenLingo y regrese.","Ative ""Em cima de outros aplicativos"" para ScreenLingo e volte.",Увімкніть «Поверх інших програм» для ScreenLingo та поверніться назад.,ScreenLingo の「他のアプリの上に」をオンにして、元に戻ります。,"ScreenLingo에 대해 ""다른 앱 위에""를 켜고 돌아갑니다.",打開 ScreenLingo 的“在其他應用程式之上”並返回。,"قم بتشغيل ""فوق التطبيقات الأخرى"" لـ ScreenLingo ثم عد.","Schakel ""Bovenop andere apps"" in voor ScreenLingo en ga terug.","Aktifkan ""Di atas aplikasi lain"" untuk ScreenLingo dan kembali.","ScreenLingo के लिए ""अन्य ऐप्स के शीर्ष पर"" चालू करें और वापस जाएं।","ScreenLingo için ""Diğer uygulamaların üstünde"" seçeneğini açın ve geri dönün.",打开 ScreenLingo 的“在其他应用程序之上”并返回。,"เปิด ""ด้านบนของแอปอื่นๆ"" สำหรับ ScreenLingo แล้วย้อนกลับ","Bật ""Bật các ứng dụng khác"" cho ScreenLingo và quay lại.",Włącz „Nad innymi aplikacjami” dla ScreenLingo i wróć.
Оверлей остановлен.,Оверлей остановлен.,Overlay stopped.,La superposition s'est arrêtée.,La sovrapposizione è stata interrotta.,Overlay wurde gestoppt.,La superposición se ha detenido.,A sobreposição foi interrompida.,Оверлей зупинено.,オーバーレイが停止しました。,오버레이가 중지되었습니다.,疊加已停止。,توقف التراكب.,Overlay is gestopt.,Hamparan telah berhenti.,ओवरले बंद हो गया है.,Yer paylaşımı durduruldu.,叠加已停止。,การวางซ้อนหยุดแล้ว,Lớp phủ đã dừng.,Nakładka została zatrzymana.
Запускаю оверлей…,Запускаю оверлей…,Starting the overlay…,Je lance la superposition...,Sto lanciando l'overlay...,Ich starte das Overlay...,Estoy lanzando la superposición...,Estou lançando a sobreposição...,Запускаю оверлей...,オーバーレイを起動しています...,오버레이를 시작합니다...,我正在啟動覆蓋...,سأطلق التراكب...,Ik lanceer de overlay...,Saya meluncurkan overlay...,मैं ओवरले लॉन्च कर रहा हूं...,Kaplamayı başlatıyorum...,我正在启动覆盖...,ฉันกำลังเปิดตัวโอเวอร์เลย์...,Tôi đang khởi chạy lớp phủ...,Uruchamiam nakładkę...
Нужно разрешение «Поверх других приложений». Включите его в открывшихся настройках и вернитесь — оверлей запустится автоматически.,Нужно разрешение «Поверх других приложений». Включите его в открывшихся настройках и вернитесь — оверлей запустится автоматически.,The “Draw over other apps” permission is required. Enable it in the settings that just opened and come back — the overlay will start automatically.,"Nécessite l'autorisation ""Au-dessus des autres applications"". Activez-le dans les paramètres qui s'ouvrent et reviennent - la superposition démarrera automatiquement.","Richiede l'autorizzazione ""Sopra altre app"". Abilitalo nelle impostazioni che si aprono e ritornano: l'overlay si avvierà automaticamente.","Erfordert die Berechtigung „Zusätzlich zu anderen Apps“. Aktivieren Sie es in den Einstellungen, die geöffnet und zurückgegeben werden – das Overlay wird automatisch gestartet.","Requiere permiso ""Encima de otras aplicaciones"". Habilítelo en la configuración que se abre y regresa; la superposición se iniciará automáticamente.","Requer permissão ""Em cima de outros aplicativos"". Habilite-o nas configurações que abrem e retornam - a sobreposição iniciará automaticamente.",Потрібна роздільна здатність «Поверх інших додатків». Увімкніть його в налаштуваннях і поверніться - оверлей запуститься автоматично.,「他のアプリの上に」権限が必要です。開いて戻る設定で有効にすると、オーバーレイが自動的に開始されます。,"""다른 앱 위에"" 권한이 필요합니다. 열고 돌아가는 설정에서 활성화하면 오버레이가 자동으로 시작됩니다.",需要“在其他應用程式之上”權限。在打開並返回的設定中啟用它 - 覆蓋將自動啟動。,"يتطلب إذن ""فوق التطبيقات الأخرى"". قم بتمكينه في الإعدادات التي تفتح وتعود - سيبدأ التراكب تلقائيًا.",Vereist de toestemming 'Bovenop andere apps'. Schakel het in in de instellingen die worden geopend en geretourneerd - de overlay wordt automatisch gestart.,"Membutuhkan izin ""Di atas aplikasi lain"". Aktifkan di pengaturan yang terbuka dan kembali - overlay akan dimulai secara otomatis.","""अन्य ऐप्स के शीर्ष पर"" अनुमति की आवश्यकता है। इसे उन सेटिंग्स में सक्षम करें जो खुलती हैं और वापस आती हैं - ओवरले स्वचालित रूप से प्रारंभ हो जाएगा।","""Diğer uygulamaların üstünde"" izni gerektirir. Açılan ve geri dönen ayarlarda bunu etkinleştirin - kaplama otomatik olarak başlayacaktır.",需要“在其他应用程序之上”权限。在打开并返回的设置中启用它 - 覆盖将自动启动。,"ต้องได้รับอนุญาต ""อยู่ด้านบนของแอปอื่น ๆ "" เปิดใช้งานในการตั้งค่าที่เปิดและกลับมา - การซ้อนทับจะเริ่มโดยอัตโนมัติ","Yêu cầu quyền ""Trên các ứng dụng khác"". Kích hoạt nó trong cài đặt mở và quay lại - lớp phủ sẽ tự động bắt đầu.","Wymaga pozwolenia „Nad innymi aplikacjami”. Włącz to w ustawieniach, które otwierają się i powracają - nakładka uruchomi się automatycznie."
Ошибка: ,Ошибка: ,Error: ,Erreur : ,Errore: ,Fehler: ,Error: ,Erro: ,Помилка: ,エラー: ,오류: ,錯誤：,خطأ: ,Fout: ,Kesalahan: ,त्रुटि: ,Hata: ,错误： ,ข้อผิดพลาด: ,Lỗi: ,Błąd: 
Русский,Русский,Русский,russe,Russo,Russisch,ruso,Russo,Українська,ロシア語,러시아어,俄文,الروسية,Russisch,Rusia,रूसी,Rusça,俄语,ภาษารัสเซีย,tiếng Nga,Rosyjski
